,Model,Compressor,error_bound,epochs,miou,class,iou,run,model_num
231,unet,sz3,1E-3,10,0.2772942868073924,sky,0.6517879791913018,2,18
232,unet,sz3,1E-3,10,0.2772942868073924,person,0.1853759406919908,2,18
233,unet,sz3,1E-3,10,0.2772942868073924,rider,0.013038291103283717,2,18
234,unet,sz3,1E-3,10,0.2772942868073924,car,0.6051077297503534,2,18
235,unet,sz3,1E-3,10,0.2772942868073924,truck,0.3225538282483997,2,18
236,unet,sz3,1E-3,10,0.2772942868073924,bus,0.17591825067886238,2,18
237,unet,sz3,1E-3,10,0.2772942868073924,train,0.05771273456862976,2,18
238,unet,sz3,1E-3,10,0.2772942868073924,motorcycle,0.09830078998360411,2,18
239,unet,sz3,1E-3,10,0.2772942868073924,bicycle,0.1358477679609393,2,18
240,unet,sz3,1E-2,10,0.14331571777049648,unlabeled,0.11665092041281905,0,18
241,unet,sz3,1E-2,10,0.14331571777049648,road,0.7205576564056748,0,18
242,unet,sz3,1E-2,10,0.14331571777049648,sidewalk,0.24770362471305285,0,18
243,unet,sz3,1E-2,10,0.14331571777049648,building,0.430874825889858,0,18
244,unet,sz3,1E-2,10,0.14331571777049648,wall,0.002971095229037021,0,18
245,unet,sz3,1E-2,10,0.14331571777049648,fence,0.0,0,18
246,unet,sz3,1E-2,10,0.14331571777049648,pole,4.466259641538001e-06,0,18
247,unet,sz3,1E-2,10,0.14331571777049648,traffic light,0.0,0,18
248,unet,sz3,1E-2,10,0.14331571777049648,traffic sign,0.0,0,18
249,unet,sz3,1E-2,10,0.14331571777049648,vegetation,0.3301428269450745,0,18
250,unet,sz3,1E-2,10,0.14331571777049648,terrain,0.02596835859391792,0,18
251,unet,sz3,1E-2,10,0.14331571777049648,sky,0.3096044710586089,0,18
252,unet,sz3,1E-2,10,0.14331571777049648,person,0.10336068944248364,0,18
253,unet,sz3,1E-2,10,0.14331571777049648,rider,0.0,0,18
254,unet,sz3,1E-2,10,0.14331571777049648,car,0.4526537330099281,0,18
255,unet,sz3,1E-2,10,0.14331571777049648,truck,0.0721688471893318,0,18
256,unet,sz3,1E-2,10,0.14331571777049648,bus,0.05098448075476858,0,18
257,unet,sz3,1E-2,10,0.14331571777049648,train,0.0026683595057326558,0,18
258,unet,sz3,1E-2,10,0.14331571777049648,motorcycle,0.0,0,18
259,unet,sz3,1E-2,10,0.14331571777049648,bicycle,0.0,0,18
260,unet,sz3,1E-2,10,0.15060787451800894,unlabeled,0.09289666945590644,1,18
261,unet,sz3,1E-2,10,0.15060787451800894,road,0.7308064100663586,1,18
262,unet,sz3,1E-2,10,0.15060787451800894,sidewalk,0.16452119792950456,1,18
263,unet,sz3,1E-2,10,0.15060787451800894,building,0.29074454073015343,1,18
264,unet,sz3,1E-2,10,0.15060787451800894,wall,0.006374608851139919,1,18
265,unet,sz3,1E-2,10,0.15060787451800894,fence,0.009838358472272995,1,18
266,unet,sz3,1E-2,10,0.15060787451800894,pole,0.000941218256082401,1,18
267,unet,sz3,1E-2,10,0.15060787451800894,traffic light,0.0,1,18
268,unet,sz3,1E-2,10,0.15060787451800894,traffic sign,0.0,1,18
269,unet,sz3,1E-2,10,0.15060787451800894,vegetation,0.38746819420472495,1,18
270,unet,sz3,1E-2,10,0.15060787451800894,terrain,0.07724393700653753,1,18
271,unet,sz3,1E-2,10,0.15060787451800894,sky,0.562949779616678,1,18
272,unet,sz3,1E-2,10,0.15060787451800894,person,0.10272357988841398,1,18
273,unet,sz3,1E-2,10,0.15060787451800894,rider,0.0,1,18
274,unet,sz3,1E-2,10,0.15060787451800894,car,0.45924574001156293,1,18
275,unet,sz3,1E-2,10,0.15060787451800894,truck,0.09234929428835247,1,18
276,unet,sz3,1E-2,10,0.15060787451800894,bus,0.03404483083011645,1,18
277,unet,sz3,1E-2,10,0.15060787451800894,train,0.0,1,18
278,unet,sz3,1E-2,10,0.15060787451800894,motorcycle,0.0,1,18
279,unet,sz3,1E-2,10,0.15060787451800894,bicycle,9.130752373995617e-06,1,18
280,unet,sz3,1E-1,10,0.17778947080353547,unlabeled,0.23992199460156313,0,18
281,unet,sz3,1E-1,10,0.17778947080353547,road,0.7632333903100033,0,18
282,unet,sz3,1E-1,10,0.17778947080353547,sidewalk,0.2026001505732255,0,18
283,unet,sz3,1E-1,10,0.17778947080353547,building,0.48069357123484946,0,18
284,unet,sz3,1E-1,10,0.17778947080353547,wall,0.02869364562526792,0,18
285,unet,sz3,1E-1,10,0.17778947080353547,fence,0.00197403936798511,0,18
286,unet,sz3,1E-1,10,0.17778947080353547,pole,0.00021947308543325778,0,18
287,unet,sz3,1E-1,10,0.17778947080353547,traffic light,0.0,0,18
288,unet,sz3,1E-1,10,0.17778947080353547,traffic sign,0.0,0,18
289,unet,sz3,1E-1,10,0.17778947080353547,vegetation,0.506467224777519,0,18
290,unet,sz3,1E-1,10,0.17778947080353547,terrain,0.010313525389919198,0,18
291,unet,sz3,1E-1,10,0.17778947080353547,sky,0.5864929082932455,0,18
292,unet,sz3,1E-1,10,0.17778947080353547,person,0.08675920401043549,0,18
293,unet,sz3,1E-1,10,0.17778947080353547,rider,0.0004274478513621338,0,18
294,unet,sz3,1E-1,10,0.17778947080353547,car,0.4319443416917052,0,18
295,unet,sz3,1E-1,10,0.17778947080353547,truck,0.10598475715657629,0,18
296,unet,sz3,1E-1,10,0.17778947080353547,bus,0.0282754803510714,0,18
297,unet,sz3,1E-1,10,0.17778947080353547,train,0.0,0,18
298,unet,sz3,1E-1,10,0.17778947080353547,motorcycle,0.0,0,18
299,unet,sz3,1E-1,10,0.17778947080353547,bicycle,0.08178826175054756,0,18
300,unet,sz3,1E-7,10,0.3829749507361644,unlabeled,0.45142555619920505,0,101
301,unet,sz3,1E-7,10,0.3829749507361644,road,0.882121011684396,0,101
302,unet,sz3,1E-7,10,0.3829749507361644,sidewalk,0.5333171284126903,0,101
303,unet,sz3,1E-7,10,0.3829749507361644,building,0.7574649001901016,0,101
304,unet,sz3,1E-7,10,0.3829749507361644,wall,0.15462230040066452,0,101
305,unet,sz3,1E-7,10,0.3829749507361644,fence,0.2031569758807912,0,101
306,unet,sz3,1E-7,10,0.3829749507361644,pole,0.07603223380953937,0,101
307,unet,sz3,1E-7,10,0.3829749507361644,traffic light,0.06428184627146179,0,101
308,unet,sz3,1E-7,10,0.3829749507361644,traffic sign,0.22737049418227992,0,101
309,unet,sz3,1E-7,10,0.3829749507361644,vegetation,0.7858285243140185,0,101
310,unet,sz3,1E-7,10,0.3829749507361644,terrain,0.41618337170178854,0,101
311,unet,sz3,1E-7,10,0.3829749507361644,sky,0.7945245018179987,0,101
312,unet,sz3,1E-7,10,0.3829749507361644,person,0.3927914000925055,0,101
313,unet,sz3,1E-7,10,0.3829749507361644,rider,0.0927430200656302,0,101
314,unet,sz3,1E-7,10,0.3829749507361644,car,0.7741359693890724,0,101
315,unet,sz3,1E-7,10,0.3829749507361644,truck,0.21255914668377576,0,101
316,unet,sz3,1E-7,10,0.3829749507361644,bus,0.3499299172651608,0,101
317,unet,sz3,1E-7,10,0.3829749507361644,train,0.1268931641424478,0,101
